"","Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","BuildingAge","Revonated"
"11",11,"20","RL",70,11200,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","5","Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec","Unf",1040,"GasA","Ex","Y","SBrkr",1040,"1","0","1","0","3","1","TA","5","Typ","0","NoFirePlc","Detchd","Unf","1",384,"TA","TA","Y",0,0,0,0,0,0,"NoPool","NoFence","None",0,"2","2008","WD","Normal",129500,"54","54"
"12",12,"60","RL",85,11924,"Pave","No Alley","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story","9","5","Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ","Unf",1175,"GasA","Ex","Y","SBrkr",2324,"1","0","3","0","4","1","Ex","11","Typ","2","Gd","BuiltIn","Fin","3",736,"TA","TA","Y",147,21,0,0,0,0,"NoPool","NoFence","None",0,"7","2006","New","Partial",345000,"14","13"
"13",13,"20","RL",69,12968,"Pave","No Alley","IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","6","Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ","Unf",912,"GasA","TA","Y","SBrkr",912,"1","0","1","0","2","1","TA","4","Typ","0","NoFirePlc","Detchd","Unf","1",352,"TA","TA","Y",140,0,0,0,176,0,"NoPool","NoFence","None",0,"9","2008","WD","Normal",144000,"57","57"
"14",14,"20","RL",91,10652,"Pave","No Alley","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","7","5","Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf","Unf",1494,"GasA","Ex","Y","SBrkr",1494,"0","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","3",840,"TA","TA","Y",160,33,0,0,0,0,"NoPool","NoFence","None",0,"8","2007","New","Partial",279500,"13","12"
"15",15,"20","RL",69,10920,"Pave","No Alley","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5","Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ","Unf",1253,"GasA","TA","Y","SBrkr",1253,"1","0","1","1","2","1","TA","5","Typ","1","Fa","Attchd","RFn","1",352,"TA","TA","Y",0,213,176,0,0,0,"NoPool","GdWo","None",0,"5","2008","WD","Normal",157000,"59","59"
"16",16,"45","RM",51,6120,"Pave","No Alley","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf","7","8","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf",832,"GasA","Ex","Y","FuseA",854,"0","0","1","0","2","1","TA","5","Typ","0","NoFirePlc","Detchd","Unf","2",576,"TA","TA","Y",48,112,0,0,0,0,"NoPool","GdPrv","None",0,"7","2007","WD","Normal",132000,"90","18"
"17",17,"20","RL",69,11241,"Pave","No Alley","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","7","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ","Unf",1004,"GasA","Ex","Y","SBrkr",1004,"1","0","1","0","2","1","TA","5","Typ","1","TA","Attchd","Fin","2",480,"TA","TA","Y",0,0,0,0,0,0,"NoPool","NoFence","Shed",700,"3","2010","WD","Normal",149000,"49","49"
"18",18,"90","RL",72,10791,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story","4","5","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","Slab","NoBase","NoBase","NoBase","NoBase","NoBase",0,"GasA","TA","Y","SBrkr",1296,"0","0","2","0","2","2","TA","6","Typ","0","NoFirePlc","CarPort","Unf","2",516,"TA","TA","Y",0,0,0,0,0,0,"NoPool","NoFence","Shed",500,"10","2006","WD","Normal",90000,"52","52"
"19",19,"20","RL",66,13695,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story","5","5","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ","Unf",1114,"GasA","Ex","Y","SBrkr",1114,"1","0","1","1","3","1","Gd","6","Typ","0","NoFirePlc","Detchd","Unf","2",576,"TA","TA","Y",0,102,0,0,0,0,"NoPool","NoFence","None",0,"6","2008","WD","Normal",159000,"15","15"
"20",20,"20","RL",70,7560,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","6","Hip","CompShg","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ","Unf",1029,"GasA","TA","Y","SBrkr",1339,"0","0","1","0","3","1","TA","6","Min1","0","NoFirePlc","Attchd","Unf","1",294,"TA","TA","Y",0,0,0,0,0,0,"NoPool","MnPrv","None",0,"5","2009","COD","Abnorml",139000,"61","54"
"21",21,"60","RL",101,14215,"Pave","No Alley","IR1","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf","Unf",1158,"GasA","Ex","Y","SBrkr",2376,"0","0","3","1","4","1","Gd","9","Typ","1","Gd","BuiltIn","RFn","3",853,"TA","TA","Y",240,154,0,0,0,0,"NoPool","NoFence","None",0,"11","2006","New","Partial",325300,"14","13"
"22",22,"45","RM",57,7449,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf","7","7","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf","Unf",637,"GasA","Ex","Y","FuseF",1108,"0","0","1","0","3","1","Gd","6","Typ","1","Gd","Attchd","Unf","1",280,"TA","TA","N",0,0,205,0,0,0,"NoPool","GdPrv","None",0,"6","2007","WD","Normal",139400,"89","69"
"23",23,"20","RL",75,9742,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","8","5","Hip","CompShg","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf","Unf",1777,"GasA","Ex","Y","SBrkr",1795,"0","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","2",534,"TA","TA","Y",171,159,0,0,0,0,"NoPool","NoFence","None",0,"9","2008","WD","Normal",230000,"17","17"
"24",24,"120","RM",44,4224,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","MeadowV","Norm","Norm","TwnhsE","1Story","5","7","Gable","CompShg","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ","Unf",1040,"GasA","TA","Y","SBrkr",1060,"1","0","1","0","3","1","TA","6","Typ","1","TA","Attchd","Unf","2",572,"TA","TA","Y",100,110,0,0,0,0,"NoPool","NoFence","None",0,"6","2007","WD","Normal",129900,"43","43"
"25",25,"20","RL",69,8246,"Pave","No Alley","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","8","Gable","CompShg","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec","ALQ",1060,"GasA","Ex","Y","SBrkr",1060,"1","0","1","0","3","1","Gd","6","Typ","1","TA","Attchd","Unf","1",270,"TA","TA","Y",406,90,0,0,0,0,"NoPool","MnPrv","None",0,"5","2010","WD","Normal",154000,"51","18"
"26",26,"20","RL",110,14230,"Pave","No Alley","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf","Unf",1566,"GasA","Ex","Y","SBrkr",1600,"0","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","3",890,"TA","TA","Y",0,56,0,0,0,0,"NoPool","NoFence","None",0,"7","2009","WD","Normal",256300,"12","12"
"27",27,"20","RL",60,7200,"Pave","No Alley","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","7","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ","Rec",900,"GasA","TA","Y","SBrkr",900,"0","1","1","0","3","1","Gd","5","Typ","0","NoFirePlc","Detchd","Unf","2",576,"TA","TA","Y",222,32,0,0,0,0,"NoPool","NoFence","None",0,"5","2010","WD","Normal",134800,"68","19"
"28",28,"20","RL",98,11478,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ","Unf",1704,"GasA","Ex","Y","SBrkr",1704,"1","0","2","0","3","1","Gd","7","Typ","1","Gd","Attchd","RFn","3",772,"TA","TA","Y",0,50,0,0,0,0,"NoPool","NoFence","None",0,"5","2010","WD","Normal",306000,"12","11"
"29",29,"20","RL",47,16321,"Pave","No Alley","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","6","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ","Unf",1484,"GasA","TA","Y","SBrkr",1600,"1","0","1","0","2","1","TA","6","Typ","2","Gd","Attchd","RFn","1",319,"TA","TA","Y",288,258,0,0,0,0,"NoPool","NoFence","None",0,"12","2006","WD","Normal",207500,"62","22"
"30",30,"30","RM",60,6324,"Pave","No Alley","IR1","Lvl","AllPub","Inside","Gtl","BrkSide","Feedr","RRNn","1Fam","1Story","4","6","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf",520,"GasA","Fa","N","SBrkr",520,"0","0","1","0","1","1","Fa","4","Typ","0","NoFirePlc","Detchd","Unf","1",240,"Fa","TA","Y",49,0,87,0,0,0,"NoPool","NoFence","None",0,"5","2008","WD","Normal",68500,"92","69"
"31",31,"70","C (all)",50,8500,"Pave","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Feedr","Norm","1Fam","2Story","4","4","Gambrel","CompShg","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf","Unf",649,"GasA","TA","N","SBrkr",1317,"0","0","1","0","3","1","TA","6","Typ","0","NoFirePlc","Detchd","Unf","1",250,"TA","Fa","N",0,54,172,0,0,0,"NoPool","MnPrv","None",0,"7","2008","WD","Normal",40000,"99","69"
"32",32,"20","RL",69,8544,"Pave","No Alley","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","6","Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf","Unf",1228,"GasA","Gd","Y","SBrkr",1228,"0","0","1","1","3","1","Gd","6","Typ","0","NoFirePlc","Attchd","Unf","1",271,"TA","TA","Y",0,65,0,0,0,0,"NoPool","MnPrv","None",0,"6","2008","WD","Normal",149350,"53","13"
"33",33,"20","RL",85,11049,"Pave","No Alley","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf","Unf",1234,"GasA","Ex","Y","SBrkr",1234,"0","0","2","0","3","1","Gd","7","Typ","0","NoFirePlc","Attchd","RFn","2",484,"TA","TA","Y",0,30,0,0,0,0,"NoPool","NoFence","None",0,"1","2008","WD","Normal",179900,"12","12"
"34",34,"20","RL",70,10552,"Pave","No Alley","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","5","Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec","Unf",1398,"GasA","Gd","Y","SBrkr",1700,"0","1","1","1","4","1","Gd","6","Typ","1","Gd","Attchd","RFn","2",447,"TA","TA","Y",0,38,0,0,0,0,"NoPool","NoFence","None",0,"4","2010","WD","Normal",165500,"60","60"
"35",35,"120","RL",60,7313,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","9","5","Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ","Unf",1561,"GasA","Ex","Y","SBrkr",1561,"1","0","2","0","2","1","Ex","6","Typ","1","Gd","Attchd","Fin","2",556,"TA","TA","Y",203,47,0,0,0,0,"NoPool","NoFence","None",0,"8","2007","WD","Normal",277500,"14","14"
"36",36,"60","RL",108,13418,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story","8","5","Gable","CompShg","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf","Unf",1117,"GasA","Ex","Y","SBrkr",2452,"0","0","3","1","4","1","Gd","9","Typ","1","Gd","BuiltIn","Fin","3",691,"TA","TA","Y",113,32,0,0,0,0,"NoPool","NoFence","None",0,"9","2006","WD","Normal",309000,"15","14"
"37",37,"20","RL",112,10859,"Pave","No Alley","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","5","5","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf","Unf",1097,"GasA","Ex","Y","SBrkr",1097,"0","0","1","1","3","1","TA","6","Typ","0","NoFirePlc","Attchd","Unf","2",672,"TA","TA","Y",392,64,0,0,0,0,"NoPool","NoFence","None",0,"6","2009","WD","Normal",145000,"25","24"
"38",38,"20","RL",74,8532,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","6","Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Rec","Unf",1297,"GasA","Gd","Y","SBrkr",1297,"0","1","1","0","3","1","TA","5","Typ","1","TA","Attchd","Fin","2",498,"TA","TA","Y",0,0,0,0,0,0,"NoPool","NoFence","None",0,"10","2009","WD","Normal",153000,"65","29"
"39",39,"20","RL",68,7922,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","7","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ","Unf",1057,"GasA","TA","Y","SBrkr",1057,"1","0","1","0","3","1","Gd","5","Typ","0","NoFirePlc","Detchd","Unf","1",246,"TA","TA","Y",0,52,0,0,0,0,"NoPool","NoFence","None",0,"1","2010","WD","Abnorml",109000,"66","12"
"40",40,"90","RL",65,6040,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","Duplex","1Story","4","5","Gable","CompShg","AsbShng","Plywood","None",0,"TA","TA","PConc","NoBase","NoBase","NoBase","NoBase","NoBase",0,"GasA","TA","N","FuseP",1152,"0","0","2","0","2","2","Fa","6","Typ","0","NoFirePlc","NoGarage","NoGarage","0",0,"NoGarage","NoGarage","N",0,0,0,0,0,0,"NoPool","NoFence","None",0,"6","2008","WD","AdjLand",82000,"64","64"
"41",41,"20","RL",84,8658,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","6","5","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec","Unf",1088,"GasA","Ex","Y","SBrkr",1324,"0","0","2","0","3","1","TA","6","Typ","1","TA","Attchd","RFn","2",440,"TA","TA","Y",0,138,0,0,0,0,"NoPool","GdWo","None",0,"12","2006","WD","Abnorml",160000,"54","54"
"42",42,"20","RL",115,16905,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story","5","6","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ","Unf",1350,"GasA","Gd","Y","SBrkr",1328,"0","1","1","1","2","1","TA","5","Typ","2","Gd","Attchd","RFn","1",308,"TA","TA","P",0,104,0,0,0,0,"NoPool","NoFence","None",0,"7","2007","WD","Normal",170000,"60","60"
"43",43,"85","RL",69,9180,"Pave","No Alley","IR1","Lvl","AllPub","CulDSac","Gtl","SawyerW","Norm","Norm","1Fam","SFoyer","5","7","Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ","LwQ",840,"GasA","Gd","Y","SBrkr",884,"1","0","1","0","2","1","Gd","5","Typ","0","NoFirePlc","Attchd","RFn","2",504,"TA","Gd","Y",240,0,0,0,0,0,"NoPool","MnPrv","None",0,"12","2007","WD","Normal",144000,"36","36"
"44",44,"20","RL",69,9200,"Pave","No Alley","IR1","Lvl","AllPub","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","1Story","5","6","Hip","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ","BLQ",938,"GasA","TA","Y","SBrkr",938,"1","0","1","0","3","1","TA","5","Typ","0","NoFirePlc","Detchd","Unf","1",308,"TA","TA","Y",145,0,0,0,0,0,"NoPool","MnPrv","None",0,"7","2008","WD","Normal",130250,"44","39"
"45",45,"20","RL",70,7945,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","5","6","Gable","CompShg","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ","BLQ",1150,"GasA","Ex","Y","FuseA",1150,"1","0","1","0","3","1","TA","6","Typ","0","NoFirePlc","Attchd","RFn","1",300,"TA","TA","Y",0,0,0,0,0,0,"NoPool","NoFence","None",0,"5","2006","WD","Normal",141000,"60","60"
"46",46,"120","RL",61,7658,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story","9","5","Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","TA","No","GLQ","Unf",1752,"GasA","Ex","Y","SBrkr",1752,"1","0","2","0","2","1","Ex","6","Typ","1","Gd","Attchd","RFn","2",576,"TA","TA","Y",196,82,0,0,0,0,"NoPool","NoFence","None",0,"2","2010","WD","Normal",319900,"14","14"
"47",47,"50","RL",48,12822,"Pave","No Alley","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin","7","5","Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ","Unf",1434,"GasA","Ex","Y","SBrkr",2149,"1","0","1","1","1","1","Gd","6","Typ","1","Ex","Attchd","RFn","2",670,"TA","TA","Y",168,43,0,0,198,0,"NoPool","NoFence","None",0,"8","2009","WD","Abnorml",239686,"16","16"
"48",48,"20","FV",84,11096,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","8","5","Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ","Unf",1656,"GasA","Ex","Y","SBrkr",1656,"0","0","2","0","3","1","Gd","7","Typ","0","NoFirePlc","Attchd","RFn","3",826,"TA","TA","Y",0,146,0,0,0,0,"NoPool","NoFence","None",0,"7","2007","WD","Normal",249700,"13","13"
"49",49,"190","RM",33,4456,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","2fmCon","2Story","4","5","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf","Unf",736,"GasA","Gd","Y","SBrkr",1452,"0","0","2","0","2","3","TA","8","Typ","0","NoFirePlc","NoGarage","NoGarage","0",0,"NoGarage","NoGarage","N",0,0,102,0,0,0,"NoPool","NoFence","None",0,"6","2009","New","Partial",113000,"99","11"
"50",50,"20","RL",66,7742,"Pave","No Alley","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","5","7","Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ","Unf",955,"GasA","Ex","Y","SBrkr",955,"1","0","1","0","3","1","TA","6","Typ","0","NoFirePlc","Attchd","Unf","1",386,"TA","TA","Y",0,0,0,0,0,0,"NoPool","MnPrv","None",0,"1","2007","WD","Normal",127000,"53","53"
